Title,Genre,Premiere,Runtime,IMDB Score,Language
Feminists: What Were They Thinking?,documentary,"October 12, 2018",86,7.0,ingleslish
Gaga: Five Foot Two,documentary,"September 22, 2017",100,7.0,ingleslish
Kingdom of Us,documentary,"October 13, 2017",109,7.0,ingleslish
Los Tigres del Norte at Folsom Prison,documentary,"September 15, 2019",64,7.0,spanish
Ma Rainey's Black Bottom,drama,"December 18, 2020",94,7.0,ingleslish
Operation Varsity Blues: The College Admissions Scandal,documentary,"March 17, 2021",99,7.0,ingleslish
Pele,documentary,"February 23, 2021",108,7.0,ingleslish
ReMastered: The Lion's Share,documentary,"May 17, 2019",84,7.0,ingleslish
ReMastered: The Miami Showband Massacre,documentary,"March 22, 2019",70,7.0,ingleslish
Rose Island,comedy,"December 9, 2020",117,7.0,italian
The Christmas Chronicles,christmas/fantasy/adventure/comedy,"November 22, 2018",104,7.0,ingleslish
The Dirt,biopic,"March 22, 2019",108,7.0,ingleslish
The Night Comes for Us,action-thriller,"October 19, 2018",121,7.0,indonesian
Beats,drama,"June 19, 2019",110,7.1,ingleslish
Circus of Books,documentary,"April 22, 2020",92,7.1,ingleslish
Dance Dreams: Hot Chocolate Nutcracker,documentary,"November 27, 2020",80,7.1,ingleslish
El Pepe: A Supreme Life,documentary,"December 27, 2019",73,7.1,spanish
Evelyn,documentary,"September 10, 2019",96,7.1,ingleslish
Ferry,crime drama,"May 14, 2021",106,7.1,dutch
Grass Is Greener,documentary,04-20-19,97,7.1,ingleslish
Guillermo Vilas: Settling the Score,documentary,"October 27, 2020",94,7.1,spanish
Joshua: Teenager vs. Superpower,documentary,"May 26, 2017",78,7.1,ingleslish
Keith Richards: Under the Influence,documentary,"September 18, 2015",81,7.1,ingleslish
Knock Down the House,documentary,"May 1, 2019",87,7.1,ingleslish
Loudon Wainwright III: Surviving Twin,one-man show,"November 13, 2018",91,7.1,ingleslish
My Beautiful Broken Brain,documentary,"March 18, 2016",91,7.1,ingleslish
One of Us,documentary,"October 20, 2017",95,7.1,ingleslish
Pieces of a Woman,drama,"January 7, 2021",126,7.1,ingleslish
The Devil All the Time,psychological thriller,"September 16, 2020",138,7.1,ingleslish
The Dig,drama,"January 29, 2021",112,7.1,ingleslish
The Great Hack,documentary,"July 24, 2019",114,7.1,ingleslish
The White Tiger,drama,"January 22, 2021",125,7.1,ingleslish
To All the Boys I've Loved Before,romantic comedy,"August 17, 2018",99,7.1,ingleslish
American Murder: The Family Next Door,documentary,"September 30, 2020",82,7.2,ingleslish
Audrie & Daisy,documentary,"September 23, 2016",98,7.2,ingleslish
First They Killed My Father,drama,"September 15, 2017",136,7.2,khmer/ingleslish/french
Fyre: The Greatest Party That Never Happened,documentary,"January 18, 2019",97,7.2,ingleslish
Into the Inferno,documentary,"October 28, 2016",107,7.2,ingleslish
LA Originals,documentary,"April 10, 2020",92,7.2,ingleslish
Love per Square Foot,romantic comedy,"February 14, 2018",133,7.2,hindi
Paddleton,drama-comedy,"February 22, 2019",89,7.2,ingleslish
Private Life,drama,"October 5, 2018",124,7.2,ingleslish
Seventeen,coming-of-age comedy-drama,"October 18, 2019",99,7.2,spanish
Sometimes,drama,"May 1, 2018",101,7.2,tamil
The 40-Year-Old Version,comedy,"October 9, 2020",124,7.2,ingleslish
The Disciple,drama,"April 30, 2021",129,7.2,marathi
The King,historical drama,"November 1, 2019",140,7.2,ingleslish
The Siege of Jadotville,war drama,"October 7, 2016",108,7.2,ingleslish
Dolemite Is My Name,biopic,"October 25, 2019",118,7.3,ingleslish
El Camino: A Breaking Bad Movie,crime drama,"October 11, 2019",121,7.3,ingleslish
